"version","run","status","launch_state","activity","total_ms","wait_ms"
"baseline","1","ok","COLD","com.example.health_monitor/.MainActivity","599","619"
"baseline","2","ok","COLD","com.example.health_monitor/.MainActivity","626","640"
"baseline","3","ok","COLD","com.example.health_monitor/.MainActivity","613","651"
"baseline","4","ok","COLD","com.example.health_monitor/.MainActivity","574","576"
"baseline","5","ok","COLD","com.example.health_monitor/.MainActivity","640","679"
"baseline","6","ok","COLD","com.example.health_monitor/.MainActivity","592","600"
"baseline","7","ok","COLD","com.example.health_monitor/.MainActivity","659","664"
"baseline","8","ok","COLD","com.example.health_monitor/.MainActivity","560","570"
"baseline","9","ok","COLD","com.example.health_monitor/.MainActivity","598","602"
"baseline","10","ok","COLD","com.example.health_monitor/.MainActivity","610","613"
"optimized","1","ok","COLD","com.example.health_monitor/.MainActivity","598","600"
"optimized","2","ok","COLD","com.example.health_monitor/.MainActivity","618","621"
"optimized","3","ok","COLD","com.example.health_monitor/.MainActivity","603","609"
"optimized","4","ok","COLD","com.example.health_monitor/.MainActivity","619","622"
"optimized","5","ok","COLD","com.example.health_monitor/.MainActivity","618","620"
"optimized","6","ok","COLD","com.example.health_monitor/.MainActivity","587","594"
"optimized","7","ok","COLD","com.example.health_monitor/.MainActivity","611","618"
"optimized","8","ok","COLD","com.example.health_monitor/.MainActivity","625","631"
"optimized","9","ok","COLD","com.example.health_monitor/.MainActivity","606","615"
"optimized","10","ok","COLD","com.example.health_monitor/.MainActivity","603","608"
