"version","run","run_app_ms","first_frame_callback_ms","activity_total_ms","activity_wait_ms"
"baseline","1","114","124","824","827"
"baseline","2","84","94","809","814"
"baseline","4","69","81","727","875"
"baseline","5","111","121","1014","1032"
"baseline","6","83","93","771","775"
"baseline","7","78","88","853","866"
"baseline","9","84","94","704","745"
"baseline","10","90","100","748","757"
"optimized","1","1","60","776","786"
"optimized","2","0","65","751","761"
"optimized","3","0","69","865","874"
"optimized","4","0","62","719","724"
"optimized","5","0","63","682","684"
"optimized","6","0","62","735","742"
"optimized","7","0","69","698","708"
"optimized","8","0","62","693","699"
"optimized","9","0","67","773","1032"
"optimized","10","0","67","750","763"
